Dataset,Classification Type,Metric,Kernel Type,SVM Time,PCA + SVM Results Accuracy,PCA + SVM Kappa,KPCA-Time,Sigma,Gamma,Total PCA Components
PTSD,Multi,logeuclid,Gaussian,0.002,0.4826890756302521,0.0,0.02,4,0.5,90
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.5081792717086835,0.07468655425853869,0.02,8,0.5,90
PTSD,Multi,logeuclid,Gaussian,0.002,0.6707563025210084,0.4017304239858794,0.02,10,0.5,90
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.5057703081232493,0.06478919964368933,0.0,0.5,0.5,95
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4828011204481793,0.0019642843902692108,0.05,1,0.5,95
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.4788795518207282,-0.006338461093391779,0.06,2,0.5,95
PTSD,Multi,logeuclid,Gaussian,0.006000000000000001,0.4827450980392156,0.0,0.12,4,0.5,95
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.5158543417366946,0.08810067800314782,0.22,8,0.5,95
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.6268347338935575,0.34148626921318875,0.07,10,0.5,95
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.5285714285714285,0.10708826632523542,0.08,0.5,0.5,100
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.4807282913165266,-0.0006239686468646847,0.01,1,0.5,100
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.4828011204481793,0.0,0.51,2,0.5,100
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4827450980392156,0.0,0.06,4,0.5,100
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.5335574229691876,0.1357509831269483,0.03,8,0.5,100
PTSD,Multi,logeuclid,Gaussian,0.002,0.6211204481792716,0.3273248968699785,0.01,10,0.5,100
PTSD,Multi,logeuclid,Gaussian,0.0026666666666666666,0.5250420168067227,0.10680297086068573,0.0,0.5,0.5,105
PTSD,Multi,logeuclid,Gaussian,0.0013333333333333333,0.4831932773109244,0.0,0.0,1,0.5,105
PTSD,Multi,logeuclid,Gaussian,0.002,0.4829131652661064,0.0,0.06,2,0.5,105
PTSD,Multi,logeuclid,Gaussian,0.002,0.48252100840336143,0.0,0.03,4,0.5,105
PTSD,Multi,logeuclid,Gaussian,0.0006666666666666666,0.5213445378151261,0.09774964441538346,0.01,8,0.5,105
PTSD,Multi,logeuclid,Gaussian,0.002,0.6379831932773109,0.34904910855237603,0.01,10,0.5,105
PTSD,Multi,logeuclid,Gaussian,0.002,0.49406162464985987,0.0288645612007014,0.03,0.5,0.5,110
PTSD,Multi,logeuclid,Gaussian,0.002,0.4811204481792718,0.007213763654482386,0.15,1,0.5,110
PTSD,Multi,logeuclid,Gaussian,0.002,0.4833053221288516,0.0,0.01,2,0.5,110
PTSD,Multi,logeuclid,Gaussian,0.0033333333333333335,0.4833053221288515,0.0,0.02,4,0.5,110
